Model,Accuracy,Precision,Recall,F1-Score,FPR
Rule-Based,0.5814664880988616,0.57569558101473,0.898642081586182,0.7017989004912006,0.8031450988044871
CNN (MobileNetV2),0.8569397908417098,0.9330871170975451,0.7959599703484063,0.8590859085908591,0.06916685379088999
Hybrid (OR),0.6270687379429384,0.5989888544180167,0.9660859896219421,0.7394850698631109,0.7837412978253444
LR Fusion,0.884252208346025,0.9278246883795738,0.8552631578947368,0.8900675024108003,0.08061980685366722
